snapshot,tag,asset,downloads
2026-09-21,road-features,alabama.bin,14
2026-09-21,road-features,brazil-nordeste.bin,14
2026-09-21,road-features,finland.bin,14
2026-09-21,road-features,france-centre.bin,14
2026-09-21,road-features,mexico.bin,14
2026-09-21,road-features,nevada.bin,14
2026-09-21,road-features,sweden.bin,14
2026-09-21,road-features,texas.bin,14
2026-09-21,obf-regions,italy-nord-est.obf,14
2026-09-21,obf-regions,spain-cataluna.obf,14
2026-09-21,obf-regions,spain-madrid.obf,14
2026-09-21,obf-regions,spain-murcia.obf,14
2026-09-21,poi-packs,alabama.zip,14
2026-09-21,poi-packs,argentina.zip,14
2026-09-21,poi-packs,california.zip,14
2026-09-21,poi-packs,finland.zip,14
2026-09-21,poi-packs,hungary.zip,14
2026-09-21,poi-packs,michigan.zip,14
2026-09-21,basemap-tiles,basemap-de-bayern.pmtiles,13
2026-09-21,basemap-tiles,basemap-delaware.pmtiles,13
2026-09-21,basemap-tiles,basemap-france-alsace.pmtiles,13
2026-09-21,basemap-tiles,basemap-us-virgin-islands.pmtiles,13
2026-09-21,basemap-tiles,basemap-world.pmtiles,13
2026-09-21,road-features,france-basse-normandie.bin,13
2026-09-21,road-features,italy-sud.bin,13
2026-09-21,road-features,slovenia.bin,13
2026-09-21,road-features,south-carolina.bin,13
2026-09-21,road-features,spain-andalucia.bin,13
2026-09-21,obf-regions,france-rhone-alpes.obf,13
2026-09-21,obf-regions,spain-aragon.obf,13
2026-09-21,obf-regions,spain-cantabria.obf,13
2026-09-21,obf-regions,spain-castilla-la-mancha.obf,13
2026-09-21,obf-regions,spain-castilla-y-leon.obf,13
2026-09-21,poi-packs,alaska.zip,13
2026-09-21,poi-packs,bulgaria.zip,13
2026-09-21,poi-packs,indonesia.zip,13
2026-09-21,poi-packs,malaysia-singapore-brunei.zip,13
2026-09-21,poi-packs,sweden.zip,13
2026-09-21,basemap-tiles,basemap-czech-republic-karlovarsky.pmtiles,12
2026-09-21,basemap-tiles,basemap-de-hessen.pmtiles,12
2026-09-21,road-features,british-columbia.bin,12
2026-09-21,road-features,france-midi-pyrenees.bin,12
2026-09-21,road-features,france-nord-pas-de-calais.bin,12
2026-09-21,road-features,massachusetts.bin,12
2026-09-21,road-features,poland-slaskie.bin,12
2026-09-21,road-features,romania.bin,12
2026-09-21,road-features,utah.bin,12
2026-09-21,obf-regions,alberta.obf,12
2026-09-21,obf-regions,iraq.obf,12
2026-09-21,obf-regions,spain-asturias.obf,12
2026-09-21,obf-regions,spain-ceuta.obf,12
2026-09-21,obf-regions,spain-extremadura.obf,12
2026-09-21,obf-regions,spain-galicia.obf,12
2026-09-21,obf-regions,spain-islas-baleares.obf,12
2026-09-21,poi-packs,brazil.delta.zip,12
2026-09-21,poi-packs,new-mexico.zip,12
2026-09-21,poi-packs,serbia.zip,12
2026-09-21,poi-packs,thailand.zip,12
2026-09-21,poi-packs,ukraine.zip,12
2026-09-21,basemap-tiles,basemap-austria.pmtiles,11
2026-09-21,road-features,alberta.bin,11
2026-09-21,road-features,australia-victoria.bin,11
2026-09-21,road-features,de-hamburg.bin,11
2026-09-21,road-features,de-mecklenburg-vorpommern.bin,11
2026-09-21,road-features,de-schleswig-holstein.bin,11
2026-09-21,road-features,far-eastern-fed-district.bin,11
2026-09-21,road-features,indonesia-java.bin,11
2026-09-21,road-features,japan-chubu.bin,11
2026-09-21,road-features,spain-castilla-y-leon.bin,11
2026-09-21,road-features,taiwan.bin,11
2026-09-21,obf-regions,delaware.obf,11
